bacterie,temperature,rendement
1,10,53.85443303204251
1,11,56.84834005343393
1,12,59.62824403452142
1,13,63.671626109680815
1,14,63.45851496649119
1,15,66.3993415083346
1,16,72.39769132701493
1,17,78.19101400295406
1,18,79.23140739915728
1,19,85.06984766314295
1,20,84.37035723723065
1,21,88.8748631508715
1,22,94.55942377645394
1,23,90.77217522900656
1,24,98.30545495003676
1,25,103.47059319550735
1,26,106.74003712220892
1,27,106.54260159695096
1,28,110.74666381890525
1,29,115.84289163559323
2,10,61.62637347873698
2,11,66.38795046636824
2,12,70.4113273877376
2,13,73.24417619646245
2,14,80.70203817786765
2,15,81.49423092656782
2,16,91.95739868474355
2,17,93.76595569891862
2,18,98.4868460124499
2,19,102.90740676651828
2,20,104.08403876633191
2,21,105.46119770250033
2,22,114.72357856939884
2,23,121.67162200019966
2,24,127.11409951961694
2,25,128.10486731722258
2,26,132.27127517981566
2,27,135.8079458057115
2,28,142.223077506378
2,29,142.9216683766367
3,10,59.94643170031255
3,11,63.34787432918896
3,12,68.04170113706252
3,13,73.01790879827267
3,14,77.16849335125971
3,15,78.21025340183682
3,16,83.9807776539845
3,17,90.23342634430081
3,18,94.52151411908031
3,19,98.0166262187269
3,20,101.22126405989144
3,21,104.26329652689382
3,22,108.57747657069712
3,23,111.5106804826556
3,24,118.72269144744845
3,25,120.41673190440054
3,26,126.14570134496707
3,27,132.40644809531284
3,28,132.23898321847318
3,29,136.8522095590678
4,10,58.366636522907214
4,11,62.660665596394935
4,12,62.39950907444952
4,13,72.2758735751347
4,14,74.12802765358087
4,15,80.24915305419852
4,16,82.98196231307325
4,17,84.6784213589244
4,18,87.12303798339488
4,19,97.45858036391003
4,20,97.26604428825887
4,21,98.771941586256645
4,22,104.49630133192731
4,23,109.08925144671367
4,24,112.47178108958363
4,25,114.7442169783472
4,26,119.42426289900868
4,27,121.53730243854811
4,28,125.83888906844143
4,29,131.39139635572212
5,10,70.1934285917219
5,11,74.03270727102226
5,12,82.7907257408621
5,13,87.34324479592749
5,14,91.99162411143729
5,15,101.7749731169982
5,16,100.15468460402967
5,17,108.67963751212687
5,18,114.28274026381548
5,19,115.13674381116978
5,20,124.63717784567187
5,21,132.1683876517256
5,22,135.71614083417506
5,23,139.58650301309677
5,24,142.28637358553712
5,25,150.2248161498337
5,26,156.11690968348913
5,27,160.71624571844023
5,28,171.42948720818882
5,29,171.09467755871253
6,10,54.10656867607215
6,11,60.780496011072835
6,12,61.874164048275695
6,13,65.62340103996587
6,14,69.48335442188086
6,15,72.182992603224
6,16,73.44870780607178
6,17,81.52193797533383
6,18,83.1832988254441
6,19,86.28799664102593
6,20,87.9794673592719
6,21,91.7608201024281
6,22,99.04502375238012
6,23,100.69907493551085
6,24,103.5895301892825
6,25,110.31918858582797
6,26,116.9321101150251
6,27,117.4791223287064
6,28,117.38708291203014
6,29,121.44079614212623
7,10,59.06823803395327
7,11,64.46158003143567
7,12,70.80370782502561
7,13,72.73801321422484
7,14,74.61665573850534
7,15,80.51631157440151
7,16,79.98775902493081
7,17,85.24962750599744
7,18,88.2468336485158
7,19,93.54599848096309
7,20,98.49645258872924
7,21,104.2509200946
7,22,107.87210243333436
7,23,106.59759974474433
7,24,112.66805047597641
7,25,119.81466011998003
7,26,121.1280318526667
7,27,126.7313383805268
7,28,133.28803798400168
7,29,133.8087813462742
8,10,61.86169989717614
8,11,65.53764590092635
8,12,73.26525069314964
8,13,70.36603557254742
8,14,78.36934115172767
8,15,81.30903324453304
8,16,87.9954728095286
8,17,91.0726555661451
8,18,93.14182534284386
8,19,99.33105985057463
8,20,102.04819388663621
8,21,105.34590199169791
8,22,110.7030639903148
8,23,118.01780909572938
8,24,120.66303722471854
8,25,125.04708928316693
8,26,127.51410251494745
8,27,128.45692557574299
8,28,136.97983042764957
8,29,143.28219275870794
9,10,52.38840163539142
9,11,60.933170919342075
9,12,60.600507640339
9,13,68.14193917944169
9,14,70.64506326793023
9,15,69.31318377588651
9,16,75.48471281696673
9,17,79.05464532449668
9,18,84.57424505831581
9,19,90.17051316089363
9,20,87.92639260171056
9,21,93.24212482684717
9,22,98.96966582338828
9,23,99.43696508247602
9,24,104.20724912926563
9,25,105.68013535469176
9,26,109.86854762809286
9,27,116.85129789669847
9,28,115.05513897885291
9,29,122.95884522229547
10,10,48.49259679350957
10,11,51.9751503405356
10,12,53.19226497015115
10,13,58.92980464510951
10,14,61.37870966432942
10,15,63.85562083246643
10,16,67.31725997802606
10,17,68.47769796271328
10,18,72.11732174408662
10,19,77.2854993154749
10,20,75.13235049418913
10,21,83.92503387233458
10,22,85.73897010844763
10,23,87.07641109843492
10,24,89.5060819317034
10,25,92.74643173773184
10,26,92.9211098067608
10,27,96.69838629116674
10,28,100.07622980138869
10,29,103.11987012387209
11,10,57.77697135368047
11,11,61.025514598122385
11,12,63.671664564698126
11,13,69.58309892735609
11,14,69.58322689911844
11,15,76.49562629174225
11,16,80.4084715788888
11,17,85.16332788866823
11,18,89.5079966099368
11,19,92.25284337950546
11,20,98.64860900310921
11,21,96.25778442347469
11,22,100.0893685300632
11,23,107.59285841050166
11,24,109.45783970422268
11,25,110.05260219038493
11,26,119.49569590373068
11,27,120.2338482775101
11,28,128.68970941303925
11,29,130.318173016138
12,10,65.16413410376103
12,11,70.49968493371564
12,12,71.69673462711248
12,13,76.14794137586141
12,14,83.3214089162455
12,15,88.68509431957345
12,16,92.83620770023762
12,17,97.18165965541331
12,18,99.92662447808097
12,19,108.45911657184061
12,20,109.71001055868257
12,21,114.22134664817922
12,22,117.7724907179849
12,23,125.10896809866051
12,24,129.51068881577044
12,25,128.61208703496416
12,26,137.0452602153425
12,27,141.34815476875025
12,28,146.27508869070962
12,29,153.30498415746646
13,10,67.97124758980563
13,11,68.6996101008133
13,12,76.1847766021329
13,13,80.2120865154342
13,14,82.73968685021508
13,15,86.05445622953896
13,16,95.37306910229972
13,17,100.82903998936654
13,18,104.44629246840175
13,19,109.00177007872571
13,20,111.04223198436253
13,21,116.88162344360123
13,22,117.94250472451661
13,23,127.50786247766659
13,24,129.46881093671797
13,25,138.47021867211578
13,26,145.74180557522783
13,27,143.06508379927834
13,28,149.85753649223403
13,29,154.17900001944767
14,10,54.6931755016978
14,11,56.708406490826974
14,12,56.123930226904974
14,13,62.055388043138215
14,14,68.30399320591324
14,15,73.29683544379492
14,16,76.93330189210333
14,17,76.22080388419069
14,18,83.7137387439774
14,19,89.16424451526781
14,20,90.68188242567483
14,21,94.27908864204211
14,22,95.24180942927372
14,23,101.57021967867965
14,24,103.72622733281537
14,25,107.84085353773455
14,26,109.68393112214378
14,27,112.4396443305661
14,28,118.54345483352232
14,29,123.12795573210369
15,10,57.65056401692707
15,11,58.423226695886015
15,12,61.31917433941682
15,13,66.92287563849683
15,14,65.89821125082052
15,15,71.49233436188173
15,16,77.53230326488286
15,17,77.58222301952647
15,18,78.6692630389079
15,19,86.53528272007915
15,20,89.9896825011304
15,21,94.90000844340385
15,22,97.3698748913238
15,23,101.32382335547689
15,24,107.36635680021604
15,25,110.63874145470015
15,26,113.5620621249711
15,27,114.76353958307948
15,28,119.79079837315317
15,29,122.59958000436633
16,10,60.0353269004794
16,11,62.249471739043486
16,12,66.1917112956173
16,13,72.82514989020532
16,14,77.31771419911873
16,15,81.30633267991342
16,16,80.64688350890937
16,17,87.57934741989762
16,18,89.50659195071496
16,19,92.94684245799975
16,20,101.09256183066037
16,21,101.9336909644296
16,22,106.86611229915171
16,23,111.97743639286081
16,24,111.05933886739491
16,25,118.42692236721149
16,26,125.54853457735256
16,27,124.9048632369639
16,28,133.20262493841565
16,29,133.12534043936694
17,10,62.09758997856248
17,11,69.00611579523377
17,12,73.24232826706081
17,13,80.90237022990665
17,14,80.76530377021915
17,15,84.03210244557216
17,16,91.69945654752546
17,17,95.63381219623724
17,18,99.94565972044947
17,19,104.32338555081823
17,20,110.75198661771489
17,21,112.54750885802274
17,22,115.90192122103893
17,23,119.71589701481766
17,24,128.61362112233837
17,25,131.67687444262577
17,26,135.27509859923973
17,27,141.3390474368205
17,28,143.26080908789856
17,29,147.6594046861146
18,10,58.01071123731083
18,11,55.407312082722505
18,12,61.060967271078134
18,13,62.589250733264336
18,14,68.61410880273321
18,15,72.09373779299221
18,16,72.34185441911484
18,17,76.20470601926074
18,18,77.22422277713343
18,19,84.95098002716838
18,20,83.67384698850772
18,21,92.75137619373304
18,22,94.53017270021607
18,23,95.23560843908633
18,24,100.38338308799318
18,25,99.23442655178869
18,26,104.4583203018907
18,27,109.30493707064775
18,28,111.61556193564537
18,29,112.76006359843483
19,10,57.18624114225024
19,11,58.813192434915834
19,12,65.8381350981701
19,13,64.40462187473544
19,14,71.21744069379109
19,15,77.30030232957444
19,16,80.55321220932962
19,17,80.44775788547527
19,18,90.46335177330154
19,19,91.7203730045271
19,20,95.21436408175882
19,21,99.9834596527249
19,22,100.85768745431061
19,23,107.63629495480374
19,24,112.64538731513994
19,25,111.05074205643758
19,26,117.3418428467326
19,27,118.60558489763724
19,28,124.44425953692529
19,29,132.23800504722783
20,10,59.65572228920136
20,11,67.103127522421
20,12,70.18868787920135
20,13,73.9876267993293
20,14,75.21698123516602
20,15,80.62455252728248
20,16,81.0655282491675
20,17,89.3081627115182
20,18,93.82260841836742
20,19,100.70234993848983
20,20,103.22140571530811
20,21,104.20961189861919
20,22,110.68561958487429
20,23,120.21343720183168
20,24,118.20710249699655
20,25,122.08965104827091
20,26,127.67353482487175
20,27,128.43248229673654
20,28,133.53671957985597
20,29,138.69940418003284
21,10,54.342060984403624
21,11,58.68945298257978
21,12,63.42342177244663
21,13,65.284272667271
21,14,73.04595593476478
21,15,73.80689910723859
21,16,79.12331886257049
21,17,82.10274991942647
21,18,83.2329681998957
21,19,89.12979052371401
21,20,95.00213525487231
21,21,95.88062626884148
21,22,99.49080816223653
21,23,103.36746378251988
21,24,105.75863714564743
21,25,114.67346644219091
21,26,112.26500484009155
21,27,123.04611852912127
21,28,119.32544843768761
21,29,121.46110636137706
22,10,56.5025272490433
